Date(UTC),Pair,Side,Price,Executed,Amount,Fee
2025-08-04 13:00:00,BTCUSDT,BUY,62279,0.000642 BTC,40.00 USDT,0.0400 USDT
2025-08-04 13:00:00,ETHUSDT,BUY,3039,0.00823 ETH,25.00 USDT,0.0250 USDT
2025-08-11 13:00:00,BTCUSDT,BUY,62538,0.000640 BTC,40.00 USDT,0.0400 USDT
2025-08-11 13:00:00,ETHUSDT,BUY,3158,0.00792 ETH,25.00 USDT,0.0250 USDT
2025-08-18 13:00:00,BTCUSDT,BUY,62797,0.000637 BTC,40.00 USDT,0.0400 USDT
2025-08-18 13:00:00,ETHUSDT,BUY,3277,0.00763 ETH,25.00 USDT,0.0250 USDT
2025-08-25 13:00:00,BTCUSDT,BUY,63056,0.000634 BTC,40.00 USDT,0.0400 USDT
2025-08-25 13:00:00,ETHUSDT,BUY,2496,0.01002 ETH,25.00 USDT,0.0250 USDT
2025-09-01 13:00:00,BTCUSDT,BUY,63315,0.000632 BTC,40.00 USDT,0.0400 USDT
2025-09-01 13:00:00,ETHUSDT,BUY,2615,0.00956 ETH,25.00 USDT,0.0250 USDT
2025-09-08 13:00:00,BTCUSDT,BUY,63574,0.000629 BTC,40.00 USDT,0.0400 USDT
2025-09-08 13:00:00,ETHUSDT,BUY,2734,0.00914 ETH,25.00 USDT,0.0250 USDT
2025-09-15 13:00:00,BTCUSDT,BUY,63833,0.000627 BTC,40.00 USDT,0.0400 USDT
2025-09-15 13:00:00,ETHUSDT,BUY,2853,0.00876 ETH,25.00 USDT,0.0250 USDT
2025-09-22 13:00:00,BTCUSDT,BUY,64092,0.000624 BTC,40.00 USDT,0.0400 USDT
2025-09-22 13:00:00,ETHUSDT,BUY,2972,0.00841 ETH,25.00 USDT,0.0250 USDT
2025-09-29 13:00:00,BTCUSDT,BUY,64351,0.000622 BTC,40.00 USDT,0.0400 USDT
2025-09-29 13:00:00,ETHUSDT,BUY,3091,0.00809 ETH,25.00 USDT,0.0250 USDT
2025-10-06 13:00:00,BTCUSDT,BUY,64610,0.000619 BTC,40.00 USDT,0.0400 USDT
2025-10-06 13:00:00,ETHUSDT,BUY,3210,0.00779 ETH,25.00 USDT,0.0250 USDT
2025-10-13 13:00:00,BTCUSDT,BUY,64869,0.000617 BTC,40.00 USDT,0.0400 USDT
2025-10-13 13:00:00,ETHUSDT,BUY,2429,0.01029 ETH,25.00 USDT,0.0250 USDT
2025-10-20 13:00:00,BTCUSDT,BUY,65128,0.000614 BTC,40.00 USDT,0.0400 USDT
2025-10-20 13:00:00,ETHUSDT,BUY,2548,0.00981 ETH,25.00 USDT,0.0250 USDT
2025-10-27 13:00:00,BTCUSDT,BUY,65387,0.000612 BTC,40.00 USDT,0.0400 USDT
2025-10-27 13:00:00,ETHUSDT,BUY,2667,0.00937 ETH,25.00 USDT,0.0250 USDT
2025-11-03 13:00:00,BTCUSDT,BUY,65646,0.000609 BTC,40.00 USDT,0.0400 USDT
2025-11-03 13:00:00,ETHUSDT,BUY,2786,0.00897 ETH,25.00 USDT,0.0250 USDT
2025-11-10 13:00:00,BTCUSDT,BUY,65905,0.000607 BTC,40.00 USDT,0.0400 USDT
2025-11-10 13:00:00,ETHUSDT,BUY,2905,0.00861 ETH,25.00 USDT,0.0250 USDT
2025-11-17 13:00:00,BTCUSDT,BUY,66164,0.000605 BTC,40.00 USDT,0.0400 USDT
2025-11-17 13:00:00,ETHUSDT,BUY,3024,0.00827 ETH,25.00 USDT,0.0250 USDT
2025-11-24 13:00:00,BTCUSDT,BUY,66423,0.000602 BTC,40.00 USDT,0.0400 USDT
2025-11-24 13:00:00,ETHUSDT,BUY,3143,0.00795 ETH,25.00 USDT,0.0250 USDT
2025-12-01 13:00:00,BTCUSDT,BUY,66682,0.000600 BTC,40.00 USDT,0.0400 USDT
2025-12-01 13:00:00,ETHUSDT,BUY,3262,0.00766 ETH,25.00 USDT,0.0250 USDT
2025-12-08 13:00:00,BTCUSDT,BUY,66941,0.000598 BTC,40.00 USDT,0.0400 USDT
2025-12-08 13:00:00,ETHUSDT,BUY,2481,0.01008 ETH,25.00 USDT,0.0250 USDT
2025-12-15 13:00:00,BTCUSDT,BUY,67200,0.000595 BTC,40.00 USDT,0.0400 USDT
2025-12-15 13:00:00,ETHUSDT,BUY,2600,0.00962 ETH,25.00 USDT,0.0250 USDT
2025-12-22 13:00:00,BTCUSDT,BUY,67459,0.000593 BTC,40.00 USDT,0.0400 USDT
2025-12-22 13:00:00,ETHUSDT,BUY,2719,0.00919 ETH,25.00 USDT,0.0250 USDT
2025-12-29 13:00:00,BTCUSDT,BUY,67718,0.000591 BTC,40.00 USDT,0.0400 USDT
2025-12-29 13:00:00,ETHUSDT,BUY,2838,0.00881 ETH,25.00 USDT,0.0250 USDT
2026-01-05 13:00:00,BTCUSDT,BUY,67977,0.000588 BTC,40.00 USDT,0.0400 USDT
2026-01-05 13:00:00,ETHUSDT,BUY,2957,0.00845 ETH,25.00 USDT,0.0250 USDT
2026-01-12 13:00:00,BTCUSDT,BUY,68236,0.000586 BTC,40.00 USDT,0.0400 USDT
2026-01-12 13:00:00,ETHUSDT,BUY,3076,0.00813 ETH,25.00 USDT,0.0250 USDT
2026-01-19 13:00:00,BTCUSDT,BUY,68495,0.000584 BTC,40.00 USDT,0.0400 USDT
2026-01-19 13:00:00,ETHUSDT,BUY,3195,0.00782 ETH,25.00 USDT,0.0250 USDT
2026-01-26 13:00:00,BTCUSDT,BUY,68754,0.000582 BTC,40.00 USDT,0.0400 USDT
2026-01-26 13:00:00,ETHUSDT,BUY,2414,0.01036 ETH,25.00 USDT,0.0250 USDT
2026-02-02 13:00:00,BTCUSDT,BUY,69013,0.000580 BTC,40.00 USDT,0.0400 USDT
2026-02-02 13:00:00,ETHUSDT,BUY,2533,0.00987 ETH,25.00 USDT,0.0250 USDT
2026-02-09 13:00:00,BTCUSDT,BUY,69272,0.000577 BTC,40.00 USDT,0.0400 USDT
2026-02-09 13:00:00,ETHUSDT,BUY,2652,0.00943 ETH,25.00 USDT,0.0250 USDT
2026-02-16 13:00:00,BTCUSDT,BUY,69531,0.000575 BTC,40.00 USDT,0.0400 USDT
2026-02-16 13:00:00,ETHUSDT,BUY,2771,0.00902 ETH,25.00 USDT,0.0250 USDT
2026-02-23 13:00:00,BTCUSDT,BUY,69790,0.000573 BTC,40.00 USDT,0.0400 USDT
2026-02-23 13:00:00,ETHUSDT,BUY,2890,0.00865 ETH,25.00 USDT,0.0250 USDT
2026-03-02 13:00:00,BTCUSDT,BUY,70049,0.000571 BTC,40.00 USDT,0.0400 USDT
2026-03-02 13:00:00,ETHUSDT,BUY,3009,0.00831 ETH,25.00 USDT,0.0250 USDT
2026-03-09 13:00:00,BTCUSDT,BUY,70308,0.000569 BTC,40.00 USDT,0.0400 USDT
2026-03-09 13:00:00,ETHUSDT,BUY,3128,0.00799 ETH,25.00 USDT,0.0250 USDT
2026-03-16 13:00:00,BTCUSDT,BUY,70567,0.000567 BTC,40.00 USDT,0.0400 USDT
2026-03-16 13:00:00,ETHUSDT,BUY,3247,0.00770 ETH,25.00 USDT,0.0250 USDT
2026-03-23 13:00:00,BTCUSDT,BUY,70826,0.000565 BTC,40.00 USDT,0.0400 USDT
2026-03-23 13:00:00,ETHUSDT,BUY,2466,0.01014 ETH,25.00 USDT,0.0250 USDT
2026-03-30 13:00:00,BTCUSDT,BUY,71085,0.000563 BTC,40.00 USDT,0.0400 USDT
2026-03-30 13:00:00,ETHUSDT,BUY,2585,0.00967 ETH,25.00 USDT,0.0250 USDT
2026-04-06 13:00:00,BTCUSDT,BUY,71344,0.000561 BTC,40.00 USDT,0.0400 USDT
2026-04-06 13:00:00,ETHUSDT,BUY,2704,0.00925 ETH,25.00 USDT,0.0250 USDT
2026-04-13 13:00:00,BTCUSDT,BUY,71603,0.000559 BTC,40.00 USDT,0.0400 USDT
2026-04-13 13:00:00,ETHUSDT,BUY,2823,0.00886 ETH,25.00 USDT,0.0250 USDT
2026-04-20 13:00:00,BTCUSDT,BUY,71862,0.000557 BTC,40.00 USDT,0.0400 USDT
2026-04-20 13:00:00,ETHUSDT,BUY,2942,0.00850 ETH,25.00 USDT,0.0250 USDT
2026-04-27 13:00:00,BTCUSDT,BUY,58121,0.000688 BTC,40.00 USDT,0.0400 USDT
2026-04-27 13:00:00,ETHUSDT,BUY,3061,0.00817 ETH,25.00 USDT,0.0250 USDT
2026-05-04 13:00:00,BTCUSDT,BUY,58380,0.000685 BTC,40.00 USDT,0.0400 USDT
