Date,Time (UTC),Type,Symbol,USD Amount,Fee (USD),Asset Amount,Price
2025-08-01,09:00:00,Deposit,USD,110.00,0.00,,
2025-08-04,13:00:00,Buy,SOLUSD,25.00,0.09,0.1799 SOL,139
2025-08-11,13:00:00,Buy,SOLUSD,25.00,0.09,0.1330 SOL,188
2025-08-18,13:00:00,Buy,SOLUSD,25.00,0.09,0.1412 SOL,177
2025-08-25,13:00:00,Buy,SOLUSD,25.00,0.09,0.1506 SOL,166
2025-09-01,09:00:00,Deposit,USD,110.00,0.00,,
2025-09-01,13:00:00,Buy,SOLUSD,25.00,0.09,0.1613 SOL,155
2025-09-08,13:00:00,Buy,SOLUSD,25.00,0.09,0.1736 SOL,144
2025-09-15,13:00:00,Buy,SOLUSD,25.00,0.09,0.1880 SOL,133
2025-09-22,13:00:00,Buy,SOLUSD,25.00,0.09,0.1374 SOL,182
2025-09-29,13:00:00,Buy,SOLUSD,25.00,0.09,0.1462 SOL,171
2025-10-01,09:00:00,Deposit,USD,110.00,0.00,,
2025-10-06,13:00:00,Buy,SOLUSD,25.00,0.09,0.1562 SOL,160
2025-10-13,13:00:00,Buy,SOLUSD,25.00,0.09,0.1678 SOL,149
2025-10-20,13:00:00,Buy,SOLUSD,25.00,0.09,0.1812 SOL,138
2025-10-27,13:00:00,Buy,SOLUSD,25.00,0.09,0.1337 SOL,187
2025-11-01,09:00:00,Deposit,USD,110.00,0.00,,
2025-11-03,13:00:00,Buy,SOLUSD,25.00,0.09,0.1420 SOL,176
2025-11-10,13:00:00,Buy,SOLUSD,25.00,0.09,0.1515 SOL,165
2025-11-17,13:00:00,Buy,SOLUSD,25.00,0.09,0.1623 SOL,154
2025-11-24,13:00:00,Buy,SOLUSD,25.00,0.09,0.1748 SOL,143
2025-12-01,09:00:00,Deposit,USD,110.00,0.00,,
2025-12-01,13:00:00,Buy,SOLUSD,25.00,0.09,0.1894 SOL,132
2025-12-08,13:00:00,Buy,SOLUSD,25.00,0.09,0.1381 SOL,181
2025-12-15,13:00:00,Buy,SOLUSD,25.00,0.09,0.1471 SOL,170
2025-12-22,13:00:00,Buy,SOLUSD,25.00,0.09,0.1572 SOL,159
2025-12-29,13:00:00,Buy,SOLUSD,25.00,0.09,0.1689 SOL,148
2026-01-01,09:00:00,Deposit,USD,110.00,0.00,,
2026-01-05,13:00:00,Buy,SOLUSD,25.00,0.09,0.1825 SOL,137
2026-01-12,13:00:00,Buy,SOLUSD,25.00,0.09,0.1344 SOL,186
2026-01-19,13:00:00,Buy,SOLUSD,25.00,0.09,0.1429 SOL,175
2026-01-26,13:00:00,Buy,SOLUSD,25.00,0.09,0.1524 SOL,164
2026-02-01,09:00:00,Deposit,USD,110.00,0.00,,
2026-02-02,13:00:00,Buy,SOLUSD,25.00,0.09,0.1634 SOL,153
2026-02-09,13:00:00,Buy,SOLUSD,25.00,0.09,0.1761 SOL,142
2026-02-16,13:00:00,Buy,SOLUSD,25.00,0.09,0.1908 SOL,131
2026-02-23,13:00:00,Buy,SOLUSD,25.00,0.09,0.1389 SOL,180
2026-03-01,09:00:00,Deposit,USD,110.00,0.00,,
2026-03-02,13:00:00,Buy,SOLUSD,25.00,0.09,0.1479 SOL,169
2026-03-09,13:00:00,Buy,SOLUSD,25.00,0.09,0.1582 SOL,158
2026-03-16,13:00:00,Buy,SOLUSD,25.00,0.09,0.1701 SOL,147
2026-03-23,13:00:00,Buy,SOLUSD,25.00,0.09,0.1838 SOL,136
2026-03-30,13:00:00,Buy,SOLUSD,25.00,0.09,0.1351 SOL,185
2026-04-01,09:00:00,Deposit,USD,110.00,0.00,,
2026-04-06,13:00:00,Buy,SOLUSD,25.00,0.09,0.1437 SOL,174
2026-04-13,13:00:00,Buy,SOLUSD,25.00,0.09,0.1534 SOL,163
2026-04-20,13:00:00,Buy,SOLUSD,25.00,0.09,0.1645 SOL,152
2026-04-27,13:00:00,Buy,SOLUSD,25.00,0.09,0.1773 SOL,141
2026-05-01,09:00:00,Deposit,USD,110.00,0.00,,
2026-05-04,13:00:00,Buy,SOLUSD,25.00,0.09,0.1923 SOL,130
2026-05-11,13:00:00,Buy,SOLUSD,25.00,0.09,0.1397 SOL,179
2026-05-12,16:24:10,Sell,BTCUSD,9360.00,32.76,-0.150000 BTC,62400
2026-05-14,11:30:00,Withdrawal,USD,-9200.00,0.00,,
2026-05-18,13:00:00,Buy,SOLUSD,25.00,0.09,0.1488 SOL,168
2026-05-25,13:00:00,Buy,SOLUSD,25.00,0.09,0.1592 SOL,157
2026-06-01,09:00:00,Deposit,USD,110.00,0.00,,
2026-06-01,13:00:00,Buy,SOLUSD,25.00,0.09,0.1712 SOL,146
2026-06-08,13:00:00,Buy,SOLUSD,25.00,0.09,0.1852 SOL,135
2026-06-15,13:00:00,Buy,SOLUSD,25.00,0.09,0.1359 SOL,184
2026-06-22,13:00:00,Buy,SOLUSD,25.00,0.09,0.1445 SOL,173
2026-06-29,13:00:00,Buy,SOLUSD,25.00,0.09,0.1543 SOL,162
2026-07-01,09:00:00,Deposit,USD,110.00,0.00,,
2026-07-06,13:00:00,Buy,SOLUSD,25.00,0.09,0.1656 SOL,151
2026-07-13,13:00:00,Buy,SOLUSD,25.00,0.09,0.1786 SOL,140
2026-07-20,13:00:00,Buy,SOLUSD,25.00,0.09,0.1323 SOL,189
2026-07-27,13:00:00,Buy,SOLUSD,25.00,0.09,0.1404 SOL,178
